symbol,feature,horizon_ms,n,pearson,pearson_p,spearman,spearman_p,hit_rate,hit_rate_p,ols_beta,ols_p,ols_r2,ols_beta_ctrl,ols_p_ctrl,ols_r2_ctrl,net_cost_threshold,net_mean_bps,net_pct_positive,net_n,net_p
ETH,tob_imbalance,1000,873,0.3162414724836168,9.958900073074936e-22,0.42962882331273994,1.5955467415303802e-40,0.7925170068027211,7.611604940080549e-25,0.000055963346494070516,1.5488862044034266e-19,0.10000866891860616,0.00005626046494555284,1.7985255345433077e-18,0.1005569355800523,0.8939554722082199,-8.890418141202636,0.0,179,1.4019889537161007e-154
ETH,imbalance_d5,1000,873,0.27072490860153975,3.952242695536152e-16,0.3729518179571809,3.3927854741333585e-30,0.7244897959183674,7.590704868578979e-15,0.00005600496767523637,2.377254010453251e-13,0.07329197613731209,0.000057784575162864006,7.615791387668628e-14,0.07639505653799195,0.7272836395188385,-8.936974470598198,0.0,202,4.916411535595292e-179
ETH,imbalance_d10,1000,873,0.24687190802112147,1.3764970221278314e-13,0.33287427116684937,4.940383187951447e-24,0.7278911564625851,2.84454727346667e-15,0.00007070433533353632,2.0177011347033362e-11,0.060945738969989116,0.00007410742312956108,3.6465443308977885e-12,0.06473318808910244,0.46570866500986596,-9.081730913094196,0.0,256,1.8093483699628738e-230
ETH,imbalance_d20,1000,873,0.24763012597044892,1.1533405197655028e-13,0.3259412603713653,4.6964703424163356e-23,0.7312925170068028,1.0481044454102615e-15,0.00015116494336139602,8.712244971569877e-11,0.06132067928814022,0.00016163763245817729,3.31501086396958e-12,0.06667512868810477,0.19375367750077432,-9.04531063298053,0.0,257,1.2142356950054473e-232
ETH,ofi,1000,873,0.28150597125285315,2.297960843974234e-17,0.328380953489387,2.1403431851803268e-23,0.7142857142857143,1.305072405899614e-13,8.420096479671549e-8,1.4067742287554183e-13,0.07924561185101198,8.444209035762262e-8,5.195508203954434e-13,0.07943604306731056,439.0927,-8.965606026317042,0.0,185,8.883471149961503e-163
ETH,tob_imbalance,5000,873,0.3167123628641153,8.608601342423752e-22,0.42969633092935605,1.54662875227596e-40,0.7925170068027211,7.611604940080549e-25,0.00005606711241197465,1.42978735304818e-19,0.10030672079097092,0.00005635628912721119,1.674251423318631e-18,0.1008348503486457,0.8939554722082199,-8.890418141202636,0.0,179,1.4019889537161007e-154
ETH,imbalance_d5,5000,873,0.2709943236178455,3.6866759764002796e-16,0.3729625334518819,3.378999607152439e-30,0.7244897959183674,7.590704868578979e-15,0.000056081142065164354,2.2598754530249338e-13,0.07343792343309397,0.00005784220584122187,7.315454148049302e-14,0.0765013870610689,0.7272836395188385,-8.936974470598198,0.0,202,4.916411535595292e-179
ETH,imbalance_d10,5000,873,0.24691715044279136,1.3620681795092973e-13,0.3328554118961757,4.971131725294987e-24,0.7278911564625851,2.84454727346667e-15,0.0000707430771716304,1.9810259323025385e-11,0.06096807918278835,0.00007411338194290673,3.6424456405529774e-12,0.06470742506018301,0.46570866500986596,-9.081730913094196,0.0,256,1.8093483699628738e-230
ETH,imbalance_d20,5000,873,0.24763877724225392,1.151011253528908e-13,0.3259106569184993,4.742780279897579e-23,0.7312925170068028,1.0481044454102615e-15,0.00015122534296608598,8.605879447033319e-11,0.06132496399403875,0.00016162363340009958,3.3366796002991385e-12,0.06662625330054273,0.19375367750077432,-9.04531063298053,0.0,257,1.2142356950054473e-232
ETH,ofi,5000,873,0.28186437125125574,2.08605179325324e-17,0.3284908516030402,2.065554610444935e-23,0.7142857142857143,1.305072405899614e-13,8.433890521802818e-8,1.3429489262888247e-13,0.07944752378086595,8.457570585437028e-8,4.98198733603335e-13,0.0796383499467137,439.0927,-8.965606026317042,0.0,185,8.883471149961503e-163
ETH,tob_imbalance,10000,872,0.27048430192774864,4.370528562605276e-16,0.36826450825058554,2.1359920016676854e-29,0.7086092715231788,3.0556485030125987e-19,0.00007244081305087461,3.429333032008588e-14,0.07316175758934151,0.0000728197573281806,2.441078128554381e-13,0.07339894297893024,0.8939554722082199,-8.764627982435186,0.0,179,6.898426033686483e-133
ETH,imbalance_d5,10000,872,0.2275437014691845,1.0532645506233388e-11,0.31610556311062604,1.0953641575904828e-21,0.6600441501103753,8.879952585734333e-12,0.00007125789418290636,6.03228923332682e-9,0.051776136078297674,0.00007307715810784422,2.3232036332620718e-9,0.05319872316863716,0.7272836395188385,-8.725701800731386,0.0,202,2.972228225369987e-150
ETH,imbalance_d10,10000,872,0.20529312418280588,9.42681836234482e-10,0.2807672540419684,2.9229902373399715e-17,0.6490066225165563,2.2665677282108248e-10,0.00008899218555946572,2.3786126562178873e-7,0.042145266836736694,0.00009252743127184337,6.686381190652131e-8,0.043940388766463556,0.46570866500986596,-8.995777084804182,0.0,256,2.89703573261553e-192
ETH,imbalance_d20,10000,872,0.20621919462601165,7.894550229140249e-10,0.2797977311617802,3.7906640954793067e-17,0.6622516556291391,4.5134048719298e-12,0.0001905625642776844,4.506187571382447e-7,0.042526356232201024,0.00020206488956508214,4.552815414980983e-8,0.0453669257984628,0.19375367750077432,-8.872072335197949,0.0,257,2.5991148403250743e-189
ETH,ofi,10000,872,0.22583108111045144,1.51467339406522e-11,0.2772548581484451,7.459023368106961e-17,0.6578366445916115,1.730316398204111e-11,1.0222881371306912e-7,7.090288848026018e-11,0.05099967719551546,1.0274885219112876e-7,2.686554066615969e-10,0.051260378604191636,439.0927,-8.898322514992568,0.0,185,9.859674713869746e-134
SOL,tob_imbalance,100,873,0.3285053864203587,2.0558587240142218e-23,0.3832487257093665,6.316596649676344e-32,0.7252124645892352,1.1379732118119032e-17,0.00005404889582081488,1.6197081146521933e-22,0.10791578890718911,0.00005353832813613276,1.6637870931318435e-21,0.11290589344538182,0.9780988861720818,-8.463326023021049,0.0,153,1.6415505312659897e-134
SOL,imbalance_d5,100,873,0.35068307574845503,1.1597038239748799e-26,0.38627184692307015,1.9083983721534263e-32,0.7195467422096318,7.788939694056979e-17,0.00007170696125598754,9.207039934094683e-24,0.12297861961639656,0.00007079479981778856,3.971916754584494e-23,0.12692467576368327,0.8364310384759855,-8.355525958155466,0.0,143,6.702287766112886e-120
SOL,imbalance_d10,100,873,0.3556242915896966,2.014799945451574e-27,0.3810440741236422,1.5001803280396133e-31,0.6770538243626062,2.5700310593898513e-11,0.00008921023940463748,1.4949572704737195e-22,0.12646863676867348,0.0000877486617296173,6.373724478702697e-22,0.1290232723116309,0.71649986088244,-8.44282301415178,0.0,170,1.1386006014822098e-144
SOL,imbalance_d20,100,873,0.34464148613078066,9.452300483904396e-26,0.35422745256952604,3.314954434771026e-27,0.623229461756374,4.238024014038145e-6,0.000128152310799541,4.450216535774542e-20,0.11877775396243284,0.00012735068633479236,1.4731487621239908e-19,0.12119022593927797,0.5364790495270273,-8.728352551291474,0.0,289,1.1672080623383606e-252
SOL,ofi,100,873,0.26475789328607635,1.8081714075792396e-15,0.25654736079500845,1.3773788377095997e-14,0.6487252124645893,2.4701239392217194e-8,1.964312191625873e-8,1.9138083627576684e-17,0.07009674205728167,1.910959218173076e-8,8.788398169665982e-16,0.07211166481983189,1799.3300000000002,-8.710305418514853,0.0,180,5.5951958333579057e-160
