timestamp_ms,equity,inventory,cash,mid
1786647636820,100008.77103942174,-0.03872000000000002,102460.15359942174,63310.5
1786647642343,100008.77109142704,-0.03872000000000002,102460.15365142704,63310.5
1786647647708,100008.77113483433,-0.03872000000000002,102460.15369483433,63310.5
1786647653065,100008.69373906786,-0.03872000000000002,102460.15373906787,63312.5
1786647658497,100008.34530227339,-0.03872000000000002,102460.1537822734,63321.5
1786647663904,100008.30663494296,-0.03872000000000002,102460.15383494296,63322.5
1786647669380,100008.30667921194,-0.03872000000000002,102460.15387921194,63322.5
1786647674661,100007.95824291042,-0.03872000000000002,102460.15392291042,63331.5
1786647680053,100007.95828593789,-0.03872000000000002,102460.15396593789,63331.5
1786647685416,100007.95833759257,-0.03872000000000002,102460.15401759258,63331.5
1786647690721,100007.95838120906,-0.03872000000000002,102460.15406120906,63331.5
1786647696105,100007.76482423166,-0.03872000000000002,102460.15410423167,63336.5
1786647701490,100008.07462774946,-0.03872000000000002,102460.15414774946,63328.5
1786647706876,100008.07468041021,-0.03872000000000002,102460.15420041021,63328.5
1786647712258,100008.26832381409,-0.03872000000000002,102460.15424381409,63323.5
1786647717623,100008.2683668171,-0.03872000000000002,102460.1542868171,63323.5
1786647723072,100008.03609864983,-0.03872000000000002,102460.15433864982,63329.5
1786647728672,100008.03614161047,-0.03872000000000002,102460.15438161047,63329.5
1786647734160,100008.03619316418,-0.03872000000000002,102460.15443316418,63329.5
1786647739569,100008.15239759805,-0.03872000000000002,102460.15447759806,63326.5
1786647744622,100008.15244059126,-0.03872000000000002,102460.15452059127,63326.5
1786647750110,100008.15248372062,-0.03872000000000002,102460.15456372063,63326.5
1786647755461,100008.15253406233,-0.03872000000000002,102460.15461406234,63326.5
1786647760468,100007.80408975795,-0.03872000000000002,102460.15464975795,63335.5
1786647765498,100007.72669273778,-0.03872000000000002,102460.15469273778,63337.5
1786647770878,100007.53314494631,-0.03872000000000002,102460.15474494631,63342.5
1786647776202,100008.03654838206,-0.03872000000000002,102460.15478838206,63329.5
1786647781801,100008.03659267299,-0.03872000000000002,102460.15483267298,63329.5
1786647787221,100008.03664398065,-0.03872000000000002,102460.15488398065,63329.5
1786647792681,100008.1915666529,-0.03872000000000002,102460.15492665289,63325.5
1786647798074,100008.34649026736,-0.03872000000000002,102460.15497026737,63321.5
1786647803378,100008.34654237005,-0.03872000000000002,102460.15502237006,63321.5
1786647808880,100008.34658578743,-0.03872000000000002,102460.15506578743,63321.5
1786647814331,100008.88870878701,-0.03872000000000002,102460.15510878702,63307.5
1786647819442,100008.77259180332,-0.03872000000000002,102460.15515180332,63310.5
1786647824699,100008.11440432988,-0.03872000000000002,102460.15520432989,63327.5
1786647830284,100008.1144472678,-0.03872000000000002,102460.1552472678,63327.5
1786647835674,100008.1144923047,-0.03872000000000002,102460.1552923047,63327.5
1786647841111,100008.42430338738,-0.03872000000000002,102460.15534338738,63319.5
1786647846681,100008.42434717665,-0.03872000000000002,102460.15538717665,63319.5
1786647852163,100008.42439094018,-0.03872000000000002,102460.15543094018,63319.5
1786647857278,100008.424434082,-0.03872000000000002,102460.155474082,63319.5
1786647862861,100008.42448586557,-0.03872000000000002,102460.15552586557,63319.5
1786647868111,100008.85044950868,-0.03872000000000002,102460.15556950869,63308.5
1786647873353,100008.85049285722,-0.03872000000000002,102460.15561285723,63308.5
1786647878737,100008.85053588115,-0.03872000000000002,102460.15565588116,63308.5
1786647884189,100008.85058860989,-0.03872000000000002,102460.15570860989,63308.5
1786647889553,100008.85063252857,-0.03872000000000002,102460.15575252858,63308.5
1786647895005,100008.85067546753,-0.03872000000000002,102460.15579546754,63308.5
1786647900381,100008.85072754913,-0.03872000000000002,102460.15584754913,63308.5
1786647905790,100008.85077019846,-0.03872000000000002,102460.15589019847,63308.5
1786647911197,100008.85081335864,-0.03872000000000002,102460.15593335865,63308.5
1786647916566,100008.81214575523,-0.03872000000000002,102460.15598575523,63309.5
1786647921935,100008.81218875371,-0.03872000000000002,102460.15602875371,63309.5
1786647927262,100008.23143303973,-0.03872000000000002,102460.15607303973,63324.5
1786647932686,100008.15403714622,-0.03872000000000002,102460.15611714622,63326.5
1786647938080,100007.72816966513,-0.03872000000000002,102460.15616966513,63337.5
1786647943468,100007.72821247185,-0.03872000000000002,102460.15621247185,63337.5
1786647948835,100007.72825595141,-0.03872000000000002,102460.15625595141,63337.5
1786647954279,100007.72829985684,-0.03872000000000002,102460.15629985684,63337.5
1786647959646,100007.72835111247,-0.03872000000000002,102460.15635111247,63337.5
1786647965027,100007.26375394556,-0.03872000000000002,102460.15639394557,63349.5
1786647970469,100006.99275781422,-0.03872000000000002,102460.15643781422,63356.5
1786647975846,100006.95408908137,-0.03872000000000002,102460.15648908136,63357.5
1786647981271,100006.95413387803,-0.03872000000000002,102460.15653387802,63357.5
1786647986645,100006.95417727872,-0.03872000000000002,102460.15657727871,63357.5
1786647992032,100006.954228731,-0.03872000000000002,102460.156628731,63357.5
1786647997464,100006.95427191,-0.03872000000000002,102460.15667191,63357.5
1786648002745,100006.10247538239,-0.03872000000000002,102460.15671538239,63379.5
1786648008128,100006.10251902684,-0.03872000000000002,102460.15675902684,63379.5
1786648013527,100006.10257121253,-0.03872000000000002,102460.15681121252,63379.5
1786648018988,100005.59823313571,-0.03880500000000002,102465.54419563571,63392.5
1786648024358,100005.59827605155,-0.03880500000000002,102465.54423855155,63392.5
1786648029787,100005.79235344817,-0.03880500000000002,102465.54429094816,63387.5
1786648035278,100005.7923972472,-0.03880500000000002,102465.5443347472,63387.5
1786648040655,100006.02527034542,-0.03880500000000002,102465.54437784542,63381.5
1786648046085,100005.74240939952,-0.04880500000000002,103099.36934689952,63387.5
1786648051443,100005.45835367742,-0.058805000000000024,103733.25431617742,63392.5
1786648056873,100005.223199544,-0.058805000000000024,103733.25438204399,63396.5
1786648062265,100004.87044983784,-0.058805000000000024,103733.25446233783,63402.5
1786648067705,100004.87051498774,-0.058805000000000024,103733.25452748773,63402.5
1786648073071,100002.69479660262,-0.058805000000000024,103733.25459410262,63439.5
1786648078424,100001.12219039959,-0.06880500000000002,104367.6595028996,63462.5
1786648083791,100001.81031736697,-0.06880500000000002,104367.65957986697,63452.5
1786648089229,100001.25995434716,-0.06880500000000002,104367.65965684716,63460.5
1786648094818,100001.46646222206,-0.06880500000000002,104367.65974972206,63457.5
1786648100193,100000.76709050228,-0.07880500000000001,105002.24462300229,63466.5
1786648105603,99999.35609019049,-0.08880500000000001,105636.91950269049,63482.5
1786648110982,99998.29055155475,-0.08880500000000001,105636.91962405475,63494.5
1786648116349,99998.2906513105,-0.08880500000000001,105636.9197238105,63494.5
1786648121801,99998.11314173289,-0.08880500000000001,105636.91982423289,63496.5
1786648127171,99997.31399809674,-0.08880500000000001,105636.91992559674,63505.5
1786648132238,99997.49170873096,-0.08880500000000001,105636.92002623096,63503.5
1786648137649,99998.02463776397,-0.08880500000000001,105636.92012526398,63497.5
1786648142970,99997.24406808213,-0.098805,106271.90499558212,63505.5
1786648148291,99996.75015328519,-0.098805,106271.90510578519,63510.5
1786648153631,99997.34309338624,-0.098805,106271.90521588625,63504.5
1786648158994,99998.13364568783,-0.098805,106271.90532818783,63496.5
1786648164428,99999.71465861685,-0.098805,106271.90546111685,63480.5
1786648169859,100000.011181456,-0.098805,106271.90556895599,63477.5
1786648175277,100001.59217441054,-0.098805,106271.90568191055,63461.5
1786648180725,100002.18513796238,-0.098805,106271.90581546238,63455.5
1786648186074,100002.18524625916,-0.098805,106271.90592375916,63455.5
1786648191442,100002.18535771356,-0.098805,106271.90603521356,63455.5
1786648196613,100000.8022015707,-0.098805,106271.9061490707,63469.5
1786648202047,100000.20950395732,-0.098805,106271.90628145731,63475.5
1786648207357,100000.90124573436,-0.098805,106271.90638823436,63468.5
1786648212739,100001.49418588419,-0.098805,106271.9064983842,63462.5
1786648218098,100002.18595443522,-0.098805,106271.90663193521,63455.5
1786648223143,100002.18604853828,-0.098805,106271.90672603827,63455.5
1786648228658,100002.18618405845,-0.098805,106271.90686155844,63455.5
1786648234031,100002.1862928628,-0.098805,106271.90697036279,63455.5
1786648239414,100002.18640197716,-0.098805,106271.90707947715,63455.5
1786648244787,100002.18653323283,-0.098805,106271.90721073282,63455.5
1786648250170,100002.18664459007,-0.098805,106271.90732209006,63455.5
1786648255202,100001.19870616341,-0.098805,106271.90743366341,63465.5
1786648260754,100001.6928432497,-0.098805,106271.9075457497,63460.5
1786648266209,100002.18700084592,-0.098805,106271.90767834592,63455.5
1786648271522,100001.98950218986,-0.098805,106271.90778968985,63457.5
1786648276948,100002.08842089982,-0.098805,106271.90790339981,63456.5
1786648282322,100002.08853142956,-0.098805,106271.90801392955,63456.5
1786648287822,100002.08866536112,-0.098805,106271.90814786112,63456.5
1786648293206,100002.08877508399,-0.098805,106271.90825758399,63456.5
1786648298640,100002.18769370379,-0.098805,106271.90837120378,63455.5
1786648303814,100002.1878022293,-0.098805,106271.90847972929,63455.5
1786648308851,100002.1879139986,-0.098805,106271.90859149859,63455.5
1786648314082,100000.3107331844,-0.098805,106271.9087056844,63474.5
1786648319385,100000.31084303805,-0.098805,106271.90881553806,63474.5
1786648324706,100002.18827331264,-0.098805,106271.90895081263,63455.5
1786648330090,100002.1883818926,-0.098805,106271.9090593926,63455.5
1786648335159,100002.68252040773,-0.098805,106271.90917290773,63450.5
1786648340195,100002.68263167648,-0.098805,106271.90928417648,63450.5
1786648345561,100002.68274159667,-0.098805,106271.90939409667,63450.5
1786648350937,100002.68287255026,-0.098805,106271.90952505026,63450.5
1786648356291,100002.68298329964,-0.098805,106271.90963579965,63450.5
1786648361674,100002.68309302573,-0.098805,106271.90974552573,63450.5
1786648367052,100004.56049846612,-0.098805,106271.90985596612,63431.5
1786648372389,100004.56063110847,-0.098805,106271.90998860847,63431.5
1786648377657,100004.56074066635,-0.098805,106271.91009816635,63431.5
1786648383088,100004.5608512485,-0.098805,106271.91020874851,63431.5
1786648388516,100004.56098374655,-0.098805,106271.91034124655,63431.5
1786648393945,100004.56109454461,-0.098805,106271.91045204461,63431.5
1786648399445,100004.56120788903,-0.098805,106271.91056538903,63431.5
1786648404902,100004.56133881793,-0.098805,106271.91069631794,63431.5
1786648410119,100004.56145052724,-0.098805,106271.91080802724,63431.5
